CHAVEAMENTOS: 16389
TME: 7344.40
TMR: 26475.10
VAZAO: 0.049879
TERMINO: t1 t2 t3
DIAGRAMA DE EVENTOS
4205 1000 QUANTUM_EX
4215 1000 QUANTUM_EX
4225 1000 QUANTUM_EX
4235 1000 QUANTUM_EX
4245 1000 QUANTUM_EX
4255 1000 QUANTUM_EX
4265 1000 QUANTUM_EX
4275 1000 QUANTUM_EX
4285 1000 QUANTUM_EX
4295 1000 QUANTUM_EX
4305 1000 QUANTUM_EX
4315 1000 QUANTUM_EX
4325 1000 QUANTUM_EX
4335 1000 QUANTUM_EX
4345 1000 QUANTUM_EX
4355 1000 QUANTUM_EX
4365 1000 QUANTUM_EX
4375 1000 QUANTUM_EX
4385 1000 QUANTUM_EX
4395 1000 QUANTUM_EX
4405 1000 QUANTUM_EX
4415 1000 QUANTUM_EX
4425 1000 QUANTUM_EX
4435 1000 QUANTUM_EX
4445 1000 QUANTUM_EX
4455 1000 QUANTUM_EX
4465 1000 QUANTUM_EX
4475 1000 QUANTUM_EX
4485 1000 QUANTUM_EX
4495 1000 QUANTUM_EX
4505 1000 QUANTUM_EX
4515 1000 QUANTUM_EX
4525 1000 QUANTUM_EX
4535 1000 QUANTUM_EX
4545 1000 QUANTUM_EX
4555 1000 QUANTUM_EX
4565 1000 QUANTUM_EX
4575 1000 QUANTUM_EX
4585 1000 QUANTUM_EX
4595 1000 QUANTUM_EX
4605 1000 QUANTUM_EX
4615 1000 QUANTUM_EX
4625 1000 BLOQUEIO
4868 1001 DESBLOQUEIO
4868 1001 EXEC
4878 1001 QUANTUM_EX
4888 1001 QUANTUM_EX
4898 1001 QUANTUM_EX
4908 1001 QUANTUM_EX
4918 1001 QUANTUM_EX
4928 1001 QUANTUM_EX
4938 1001 QUANTUM_EX
4948 1001 QUANTUM_EX
4958 1001 QUANTUM_EX
4968 1001 QUANTUM_EX
4978 1001 QUANTUM_EX
4988 1001 QUANTUM_EX
4998 1001 QUANTUM_EX
5008 1001 QUANTUM_EX
5018 1001 QUANTUM_EX
5028 1001 QUANTUM_EX
5038 1001 QUANTUM_EX
5048 1001 QUANTUM_EX
